Year,President,Party,Military Deaths,Inflation,Debt,Debt Increase
1980,Carter,D,2392,13.5,0.907,0.081
1981,Reagan,R,2380,10.3,0.998,0.091
1982,Reagan,R,2319,6.2,1.142,0.144
1983,Reagan,R,2465,3.2,1.377,0.235
1984,Reagan,R,1999,4.3,1.572,0.195
1985,Reagan,R,2252,3.6,1.823,0.251
1986,Reagan,R,1984,1.9,2.125,0.302
1987,Reagan,R,1983,3.6,2.35,0.225
1988,Reagan,R,1819,4.1,2.602,0.252
1989,Bush,R,1636,4.8,2.857,0.255
1990,Bush,R,1507,5.4,3.233,0.376
1991,Bush,R,1787,4.2,3.665,0.432
1992,Bush,R,1293,3,4.065,0.4
1993,Clinton,D,1213,3,4.411,0.346
1994,Clinton,D,1075,2.6,4.693,0.282
1995,Clinton,D,1040,2.8,4.974,0.281
1996,Clinton,D,974,3,5.225,0.251
1997,Clinton,D,817,2.3,5.413,0.188
1998,Clinton,D,827,1.6,5.526,0.113
1999,Clinton,D,796,2.2,5.656,0.13
2000,Clinton,D,832,3.4,5.674,0.018
2001,Bush,R,943,2.8,5.807,0.133
2002,Bush,R,1051,1.6,6.228,0.421
2003,Bush,R,1399,2.3,6.783,0.555
2004,Bush,R,1847,2.7,7.379,0.596
2005,Bush,R,1929,3.4,7.933,0.554
2006,Bush,R,1882,3.2,8.507,0.574
2007,Bush,R,1953,2.8,9.008,0.501
2008,Bush,R,1440,3.8,10.025,1.017
2009,Obama,D,1515,-0.4,11.91,1.885
2010,Obama,D,1465,1.6,13.562,1.652
2011,Obama,D,1450,3.2,14.79,1.228
2012,Obama,D,1308,2.1,16.066,1.276
2013,Obama,D,1031,1.5,16.738,0.672
2014,Obama,D,880,1.6,17.824,1.086
2015,Obama,D,869,0.1,18.151,0.327
2016,Obama,D,811,1.3,19.573,1.422
2017,Trump,R,906,2.1,20.245,0.672
2018,Trump,R,918,2.4,21.516,1.271
2019,Trump,R,893,1.8,22.719,1.203
2020,Trump,R,1017,1.2,26.945,4.226
2021,Biden,D,1009,4.7,28.429,1.484
2022,Biden,D,844,8,30.929,2.5